Cmdline: /system/bin/simpleperf record --app com.paifa.ubikitouch --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --duration 9 -f 400 -g
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 4560
Event count: 22316617954

Children  Self   Command               Pid    Tid    Shared Object                                                                                               Symbol
5.60%     0.00%  RenderThread          31119  31314  [kernel.kallsyms]                                                                                           [kernel.kallsyms][+ffffffed47e84f06]
5.60%     0.00%  RenderThread          31119  31314  [kernel.kallsyms]                                                                                           [kernel.kallsyms][+ffffffed480ddfaa]
5.58%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.graphics.layer.GraphicsLayerV29.record
5.58%     0.10%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.node.NodeCoordinator.draw
5.57%     0.14%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.node.InnerNodeCoordinator.performDraw
5.56%     0.05%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.foundation.AndroidEdgeEffectOverscrollEffect.applyToScroll-Rhakbz0
5.55%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.layout.LayoutNodeSubcompositionsState.precompose
5.55%     0.00%  com.paifa.ubikitouch  31119  31119  /data/app/~~q4q_kPr-4iCS3LM4mpU8iQ==/com.paifa.ubikitouch-v_XPuiyDKHTwTWwicuZyDQ==/base.apk!/classes17.dex  androidx.compose.ui.layout.SubcomposeLayoutState.precompose
5.54%     0.14%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.node.LayoutNode.draw$ui_release
5.47%     0.03%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.platform.GraphicsLayerOwnerLayer.drawLayer
5.45%     0.03%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.graphics.layer.GraphicsLayer$clipDrawBlock$1.invoke
5.43%     0.05%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.platform.GraphicsLayerOwnerLayer$recordLambda$1.invoke
5.43%     0.00%  com.paifa.ubikitouch  31119  31119  /data/app/~~q4q_kPr-4iCS3LM4mpU8iQ==/com.paifa.ubikitouch-v_XPuiyDKHTwTWwicuZyDQ==/base.apk!/classes.dex    androidx.compose.foundation.gestures.ScrollingLogic.access$performScroll-3eAAhYA
5.43%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.foundation.gestures.ScrollingLogic$performScrollForOverscroll$1.invoke
5.43%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.foundation.gestures.ScrollingLogic$performScrollForOverscroll$1.invoke-MK-Hz9U
5.43%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.foundation.gestures.ScrollingLogic.performScroll-3eAAhYA
5.42%     0.03%  com.paifa.ubikitouch  31119  31119  /system/lib64/libandroid_runtime.so                                                                         android::NativeInputEventReceiver::consumeEvents(_JNIEnv*, bool, long, bool*)
5.40%     0.01%  RenderThread          31119  31314  /vendor/lib64/egl/libGLESv2_adreno.so                                                                       !!!0000!e94336f9c3a8e90238c7c8557996da!a1cf8ab5e3!
5.39%     0.02%  RenderThread          31119  31314  /vendor/lib64/egl/libGLESv2_adreno.so                                                                       !!!0000!27efe93e728a48e12b9279ac49fad7!a1cf8ab5e3!
5.38%     0.00%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.node.NodeCoordinator$drawBlock$1.invoke
5.37%     0.00%  RenderThread          31119  31314  [kernel.kallsyms]                                                                                           [kernel.kallsyms][+ffffffed480de04a]
5.37%     0.00%  RenderThread          31119  31314  [kernel.kallsyms]                                                                                           [kernel.kallsyms][+ffffffed480eb9fa]
5.33%     0.03%  com.paifa.ubikitouch  31119  31119  [JIT app cache]                                                                                             androidx.compose.ui.node.NodeCoordinator$drawBlock$1$1.invoke
